937D/A408,RSSI
1411801358049,-86
1411801358182,-86
1411801359117,-76
1411801359150,-76
1411801359540,-79
1411801359568,-79
1411801359934,-76
1411801359964,-76
1411801360254,-81
1411801360289,-81
1411801360544,-79
1411801360565,-79
1411801361952,-75
1411801361974,-75
1411801362300,-76
1411801362322,-76
1411801363025,-82
1411801363050,-82
1411801363376,-75
1411801363399,-75
1411801363759,-82
1411801363792,-82
1411801364445,-77
1411801364470,-77
1411801364800,-79
1411801364824,-79
1411801365167,-78
1411801365189,-78
1411801365858,-79
1411801365884,-79
1411801368428,-79
1411801368461,-79
1411801368835,-80
1411801368869,-80
1411801369430,-74
1411801369452,-74
1411801369769,-74
1411801369803,-74
1411801372604,-78
1411801372632,-78
1411801372979,-81
1411801373024,-81
1411801374463,-77
1411801374495,-77
1411801374814,-77
1411801374851,-77
1411801375158,-79
1411801375276,-79
1411801376512,-75
1411801376538,-75
1411801376865,-77
1411801376888,-77
1411801377614,-78
1411801377638,-78
1411801379437,-73
1411801379457,-73
1411801379749,-73
1411801379778,-73
1411801381166,-74
1411801381190,-74
1411801381634,-79
1411801381656,-79
1411801381874,-78
1411801381898,-78
1411801384041,-74
1411801384081,-74
1411801384435,-74
1411801384456,-74
1411801385414,-76
1411801385440,-76
1411801385733,-80
1411801385754,-80
1411801386095,-75
1411801386138,-75
1411801386448,-75
1411801386469,-75
1411801386801,-75
1411801386823,-75
1411801387230,-78
1411801387251,-78
1411801387511,-76
1411801387538,-76
1411801387862,-76
1411801387890,-76
1411801388214,-79
1411801388281,-79
1411801389700,-79
1411801389726,-79
1411801389977,-77
1411801390044,-77
1411801390337,-74
1411801390380,-74
1411801390693,-75
1411801390728,-75
1411801391082,-78
1411801391106,-78
1411801391396,-74
1411801391420,-74
1411801391753,-78
1411801391778,-78
1411801392843,-75
1411801392862,-75
1411801393168,-81
1411801393207,-81
1411801393546,-79
1411801393587,-79
1411801394235,-71
1411801394257,-71
1411801394572,-77
1411801394625,-77
1411801394929,-75
1411801394953,-75
1411801395333,-74
1411801395370,-74
1411801395656,-74
1411801395698,-74
1411801396005,-75
1411801396037,-75
1411801396737,-78
1411801396778,-78
1411801397071,-75
1411801397109,-75
1411801397453,-74
1411801397485,-74
1411801397799,-78
1411801397832,-78
1411801398151,-77
1411801398187,-77
1411801398520,-74
1411801398834,-79
1411801398864,-79
1411801399922,-74
1411801400002,-74
1411801400971,-79
1411801400992,-79
1411801401481,-76
1411801401504,-76
1411801402428,-76
1411801402468,-76
1411801402737,-75
1411801402762,-75
1411801403108,-77
1411801403140,-77
1411801403533,-75
1411801403972,-76
1411801404035,-76
1411801404291,-75
1411801404575,-74
1411801404606,-74
1411801404917,-74
1411801404949,-74
1411801405610,-77
1411801405663,-77
1411801405943,-76
1411801405968,-76
1411801407787,-79
1411801407820,-79
1411801408484,-74
1411801408515,-74
1411801409219,-74
1411801409251,-74
1411801409907,-73
1411801410275,-78
1411801410308,-78
1411801410640,-75
1411801410679,-75
1411801410961,-79
1411801410983,-79
1411801411344,-75
1411801411376,-75
1411801411705,-80
1411801411730,-80
1411801411974,-74
1411801412008,-74
1411801412762,-75
1411801412809,-75
1411801413400,-75
1411801413435,-75
1411801413751,-80
1411801413794,-80
1411801414096,-79
1411801414120,-79
1411801414459,-74
1411801414496,-74
1411801415212,-79
1411801415244,-79
1411801415555,-74
1411801415578,-74
1411801415938,-80
1411801415959,-80
1411801416226,-75
1411801416252,-75
1411801417000,-79
1411801417032,-79
1411801417697,-76
1411801417729,-76
1411801418439,-74
1411801418462,-74
1411801418792,-74
1411801418828,-74
1411801419187,-75
1411801419220,-75
1411801419875,-74
1411801419902,-74
1411801420238,-76
1411801420319,-76
1411801420509,-75
1411801420543,-75
1411801420932,-76
1411801421339,-75
1411801421372,-75
1411801421639,-75
1411801422109,-79
1411801422141,-79
1411801422272,-79
1411801422295,-79
1411801422628,-74
1411801422648,-74
1411801423029,-77
1411801423050,-77
1411801423395,-74
1411801423416,-74
1411801423732,-74
1411801423756,-74
1411801424223,-75
1411801424244,-75
1411801424459,-78
1411801424490,-78
1411801424822,-78
1411801424857,-78
1411801425171,-74
1411801425229,-74
1411801426217,-75
1411801426250,-75
1411801426645,-76
1411801426675,-76
1411801427320,-74
1411801427358,-74
1411801427679,-78
1411801427701,-78
1411801428037,-76
1411801428082,-76
1411801428335,-74
1411801428357,-74
1411801428752,-79
1411801428779,-79
1411801429070,-71
1411801429102,-71
1411801429866,-77
1411801429891,-77
1411801430464,-74
1411801430487,-74
1411801430873,-75
1411801430897,-75
1411801431164,-76
1411801431198,-76
1411801431574,-75
1411801431608,-75
1411801432377,-77
1411801432397,-77
1411801432630,-79
1411801432663,-79
1411801433381,-74
1411801433413,-74
1411801433645,-73
1411801433677,-73
1411801434059,-76
1411801434083,-76
1411801434356,-75
1411801434381,-75
1411801435138,-75
1411801435877,-76
1411801436175,-74
1411801436205,-74
1411801436551,-74
1411801436584,-74
1411801436864,-75
1411801436915,-75
1411801437372,-78
1411801437397,-78
1411801437557,-75
1411801437590,-75
1411801438284,-77
1411801438303,-77
1411801438734,-74
1411801438759,-74
1411801439417,-80
1411801439450,-80
1411801439697,-77
1411801439734,-77
1411801440398,-76
1411801440422,-76
1411801440784,-76
1411801440821,-76
1411801441219,-79
1411801441253,-79
1411801441547,-79
1411801441572,-79
1411801441813,-76
1411801441846,-76
1411801442317,-71
1411801442340,-71
1411801442875,-76
1411801442905,-76
1411801443255,-75
1411801443287,-75
1411801443592,-75
1411801443616,-75
1411801444749,-77
1411801444770,-77
1411801445060,-76
1411801445080,-76
1411801445364,-75
1411801445386,-75
1411801445720,-75
1411801445756,-75
1411801446433,-75
1411801446496,-75
1411801447256,-75
1411801447280,-75
1411801447479,-76
1411801447516,-76
1411801448280,-76
1411801448552,-78
1411801448585,-78
1411801449280,-75
1411801449320,-75
1411801449633,-77
1411801449666,-77
1411801450072,-74
1411801450092,-74
1411801450313,-75
1411801450337,-75
1411801450678,-76
1411801450744,-76
1411801451049,-76
1411801451074,-76
1411801451424,-77
1411801451468,-77
1411801451745,-73
1411801451778,-73
1411801452449,-79
1411801452483,-79
1411801452807,-73
1411801452855,-73
1411801453159,-71
1411801453207,-71
1411801453513,-77
1411801453547,-77
1411801453900,-74
1411801454258,-75
1411801454328,-75
1411801454569,-74
1411801454594,-74
1411801455305,-76
1411801455329,-76
1411801455662,-76
1411801455991,-74
1411801456038,-74
1411801456391,-76
1411801456427,-76
1411801457067,-76
1411801457090,-76
1411801457412,-74
1411801457439,-74
1411801457806,-74
1411801457826,-74
1411801458126,-81
1411801458150,-81
1411801458482,-75
1411801458520,-75
1411801458836,-75
1411801458878,-75
1411801459614,-74
1411801459998,-74
1411801460022,-74
1411801460251,-75
1411801460283,-75
1411801460974,-80
1411801461011,-80
1411801461348,-75
1411801461402,-75
1411801461734,-79
1411801461770,-79
1411801462516,-76
1411801462545,-76
1411801462734,-75
1411801462758,-75
