B4EC/C0CB,RSSI
1411801358404,-68
1411801358428,-68
1411801358760,-68
1411801358788,-68
1411801359172,-78
1411801359192,-78
1411801359478,-69
1411801359510,-69
1411801359874,-70
1411801359905,-70
1411801360196,-68
1411801360225,-68
1411801360588,-70
1411801360719,-70
1411801360900,-78
1411801360921,-78
1411801362343,-71
1411801362365,-71
1411801363075,-69
1411801363100,-69
1411801363424,-71
1411801363455,-71
1411801364495,-77
1411801364521,-77
1411801364845,-79
1411801364867,-79
1411801365215,-67
1411801365236,-67
1411801365932,-67
1411801366052,-67
1411801367635,-79
1411801367658,-79
1411801368354,-80
1411801368389,-80
1411801368760,-68
1411801368797,-68
1411801369474,-79
1411801369494,-79
1411801369837,-80
1411801369885,-80
1411801370856,-79
1411801370880,-79
1411801371539,-70
1411801371567,-70
1411801371904,-68
1411801372100,-68
1411801372657,-67
1411801372678,-67
1411801373057,-70
1411801373090,-70
1411801374030,-82
1411801374051,-82
1411801374398,-78
1411801374430,-78
1411801374746,-70
1411801374783,-70
1411801375110,-67
1411801375136,-67
1411801376159,-69
1411801376180,-69
1411801376560,-69
1411801376583,-69
1411801377666,-86
1411801377690,-86
1411801379372,-73
1411801379415,-73
1411801379707,-73
1411801379728,-73
1411801380418,-72
1411801380439,-72
1411801380770,-72
1411801380793,-72
1411801381122,-74
1411801381145,-74
1411801381581,-72
1411801381609,-72
1411801381830,-72
1411801381853,-72
1411801383647,-73
1411801383683,-73
1411801385459,-67
1411801385485,-67
1411801386178,-70
1411801386245,-70
1411801386490,-69
1411801386512,-69
1411801386847,-69
1411801386871,-69
1411801387564,-70
1411801387594,-70
1411801387919,-68
1411801387945,-68
1411801388302,-76
1411801388324,-76
1411801388574,-68
1411801388601,-68
1411801389769,-67
1411801389789,-67
1411801390755,-68
1411801390777,-68
1411801391131,-70
1411801391157,-70
1411801391442,-67
1411801391464,-67
1411801391848,-66
1411801391879,-66
1411801392127,-74
1411801392151,-74
1411801392882,-67
1411801392901,-67
1411801393231,-75
1411801393253,-75
1411801393626,-70
1411801393658,-70
1411801393900,-75
1411801393926,-75
1411801394278,-67
1411801394297,-67
1411801394650,-67
1411801394671,-67
1411801395411,-68
1411801395444,-68
1411801396214,-77
1411801396242,-77
1411801396810,-67
1411801396840,-67
1411801397141,-68
1411801397176,-68
1411801397517,-76
1411801397549,-76
1411801397863,-69
1411801397896,-69
1411801398242,-67
1411801398267,-67
1411801398889,-69
1411801398915,-69
1411801399210,-76
1411801399239,-76
1411801399578,-69
1411801399622,-69
1411801400030,-75
1411801400277,-69
1411801400306,-69
1411801400639,-67
1411801400667,-67
1411801401528,-70
1411801401556,-70
1411801402068,-67
1411801402101,-67
1411801402503,-70
1411801402527,-70
1411801402784,-69
1411801402809,-69
1411801403226,-67
1411801403269,-67
1411801403566,-68
1411801404065,-69
1411801404088,-69
1411801404645,-75
1411801404678,-75
1411801404981,-69
1411801405057,-69
1411801405233,-66
1411801405263,-66
1411801405702,-69
1411801405734,-69
1411801405992,-67
1411801406024,-67
1411801407722,-69
1411801407755,-69
1411801408099,-75
1411801408179,-75
1411801408422,-69
1411801408461,-69
1411801408804,-69
1411801408863,-69
1411801409155,-67
1411801409187,-67
1411801409574,-71
1411801409596,-71
1411801409886,-68
1411801410210,-75
1411801410242,-75
1411801410559,-75
1411801410606,-75
1411801410909,-67
1411801410932,-67
1411801411267,-67
1411801411311,-67
1411801411658,-75
1411801411683,-75
1411801412707,-67
1411801412737,-67
1411801413036,-69
1411801413058,-69
1411801413468,-69
1411801413506,-69
1411801413819,-67
1411801413841,-67
1411801414145,-74
1411801414169,-74
1411801414528,-75
1411801414562,-75
1411801415600,-76
1411801415623,-76
1411801415984,-75
1411801416006,-75
1411801416937,-69
1411801416969,-69
1411801418099,-75
1411801418135,-75
1411801418400,-65
1411801418419,-65
1411801418717,-67
1411801418760,-67
1411801419071,-67
1411801419105,-67
1411801419820,-74
1411801419847,-74
1411801420170,-74
1411801420202,-74
1411801420862,-69
1411801420897,-69
1411801421268,-75
1411801421301,-75
1411801421604,-75
1411801422062,-70
1411801422086,-70
1411801422989,-69
1411801423009,-69
1411801423356,-74
1411801423376,-74
1411801423679,-74
1411801423707,-74
1411801424170,-75
1411801424199,-75
1411801424398,-69
1411801424427,-69
1411801424756,-67
1411801424788,-67
1411801426160,-75
1411801426191,-75
1411801426584,-65
1411801426613,-65
1411801427228,-75
1411801427282,-75
1411801427576,-67
1411801427656,-67
1411801427979,-67
1411801428013,-67
1411801428288,-76
1411801428313,-76
1411801429003,-76
1411801429038,-76
1411801430087,-67
1411801430117,-67
1411801430418,-67
1411801430441,-67
1411801430824,-66
1411801430848,-66
1411801431499,-66
1411801431541,-66
1411801432339,-75
1411801432358,-75
1411801432567,-69
1411801432599,-69
1411801433313,-67
1411801433345,-67
1411801433998,-69
1411801434032,-69
1411801434716,-68
1411801435066,-67
1411801435104,-67
1411801435425,-67
1411801435463,-67
1411801435810,-75
1411801436116,-67
1411801436145,-67
1411801436483,-67
1411801436519,-67
1411801437185,-69
1411801437309,-69
1411801437906,-70
1411801438243,-66
1411801438263,-66
1411801438669,-74
1411801438705,-74
1411801438965,-69
1411801438991,-69
1411801439337,-69
1411801439383,-69
1411801440068,-67
1411801440089,-67
1411801441137,-69
1411801441187,-69
1411801441497,-76
1411801441523,-76
1411801442364,-70
1411801442389,-70
1411801442928,-75
1411801442951,-75
1411801443369,-69
1411801443405,-69
1411801443639,-69
1411801443672,-69
1411801443959,-75
1411801443986,-75
1411801444789,-67
1411801444809,-67
1411801445100,-67
1411801445121,-67
1411801445789,-67
1411801445824,-67
1411801446094,-75
1411801446119,-75
1411801446576,-69
1411801446617,-69
1411801447315,-75
1411801447338,-75
1411801447542,-70
1411801447566,-70
1411801447885,-69
1411801447943,-69
1411801449352,-74
1411801449384,-74
1411801449691,-75
1411801449715,-75
1411801450112,-67
1411801450132,-67
1411801450371,-75
1411801450392,-75
1411801450775,-67
1411801450807,-67
1411801451503,-75
1411801451547,-75
1411801452154,-75
1411801452180,-75
1411801452526,-75
1411801452559,-75
1411801452894,-67
1411801452926,-67
1411801453590,-69
1411801453623,-69
1411801454353,-75
1411801454376,-75
1411801454639,-67
1411801454681,-67
1411801455703,-67
1411801455725,-67
1411801456081,-69
1411801456112,-69
1411801456462,-67
1411801456494,-67
1411801457557,-70
1411801457578,-70
1411801457849,-75
1411801457870,-75
1411801458192,-75
1411801458238,-75
1411801458567,-76
1411801458605,-76
1411801458925,-68
1411801458963,-68
1411801459263,-76
1411801459322,-76
1411801460044,-67
1411801460069,-67
1411801460325,-69
1411801460358,-69
1411801460682,-67
1411801460769,-67
1411801461041,-69
1411801461063,-69
1411801461435,-69
1411801461468,-69
1411801461812,-75
1411801461844,-75
1411801462573,-68
1411801462598,-68
1411801462811,-76
1411801462838,-76
1411801463870,-67
1411801463895,-67
1411801464270,-68
1411801464305,-68
1411801464613,-74
1411801464646,-74
1411801465073,-75
1411801465101,-75
1411801465299,-69
1411801465338,-69
1411801465685,-67
1411801465718,-67
1411801466003,-70
1411801466037,-70
1411801466787,-70
1411801466818,-70
1411801467079,-69
1411801467190,-69
1411801467440,-74
1411801467485,-74
1411801467789,-67
1411801468518,-67
1411801468550,-67
1411801468859,-70
1411801468894,-70
1411801469579,-73
1411801469601,-73
1411801469999,-70
1411801470024,-70
1411801470269,-67
1411801470299,-67
1411801470994,-67
1411801471027,-67
1411801471747,-75
1411801471768,-75
1411801472062,-67
1411801472087,-67
1411801472811,-75
1411801472835,-75
1411801473100,-65
1411801473122,-65
1411801473472,-69
1411801473506,-69
1411801473853,-69
1411801473879,-69
1411801474206,-74
1411801474231,-74
1411801474521,-75
1411801474544,-75
1411801474902,-68
1411801474923,-68
1411801475239,-67
1411801475269,-67
1411801475674,-76
1411801475698,-76
1411801475965,-75
1411801475985,-75
1411801476309,-75
