BD14/AEEF,RSSI
1411801357910,-75
1411801357931,-75
1411801358986,-72
1411801359011,-72
1411801359751,-72
1411801359783,-72
1411801360029,-87
1411801360063,-87
1411801361129,-72
1411801361150,-72
1411801361461,-72
1411801361485,-72
1411801361822,-73
1411801361848,-73
1411801362168,-82
1411801362228,-82
1411801362909,-71
1411801362933,-71
1411801363227,-78
1411801363251,-78
1411801363661,-70
1411801363696,-70
1411801363933,-74
1411801364016,-74
1411801364287,-81
1411801364340,-81
1411801365342,-82
1411801365368,-82
1411801366131,-80
1411801366161,-80
1411801366839,-82
1411801366858,-82
1411801367187,-80
1411801367208,-80
1411801367542,-77
1411801367569,-77
1411801367865,-70
1411801367886,-70
1411801368224,-81
1411801368245,-81
1411801368664,-78
1411801368703,-78
1411801369593,-70
1411801369614,-70
1411801370011,-70
1411801370046,-70
1411801370397,-79
1411801370432,-79
1411801370739,-80
1411801370784,-80
1411801371055,-80
1411801371077,-80
1411801371408,-77
1411801371445,-77
1411801372250,-78
1411801372297,-78
1411801373861,-80
1411801373883,-80
1411801374218,-82
1411801374250,-82
1411801375360,-82
1411801375381,-82
1411801376359,-84
1411801376383,-84
1411801377800,-80
1411801377824,-80
1411801378128,-79
1411801378154,-79
1411801378862,-76
1411801378910,-76
1411801379912,-78
1411801379937,-78
1411801380274,-72
1411801380310,-72
1411801380624,-76
1411801380651,-76
1411801381331,-70
1411801381370,-70
1411801381755,-78
1411801381775,-78
1411801382106,-71
1411801382126,-71
1411801382467,-70
1411801382491,-70
1411801382794,-79
1411801382816,-79
1411801383153,-80
1411801383177,-80
1411801383542,-78
1411801383578,-78
1411801383941,-71
1411801383978,-71
1411801384391,-79
1411801384413,-79
1411801385299,-71
1411801385339,-71
1411801385627,-78
1411801385649,-78
1411801385959,-71
1411801385991,-71
1411801386693,-77
1411801386716,-77
1411801387068,-77
1411801387098,-77
1411801387373,-79
1411801387394,-79
1411801387745,-71
1411801387772,-71
1411801388095,-70
1411801388121,-70
1411801388845,-79
1411801388869,-79
1411801389150,-72
1411801389180,-72
1411801389533,-71
1411801389557,-71
1411801390221,-71
1411801390251,-71
1411801390575,-71
1411801390607,-71
1411801390973,-78
1411801391057,-78
1411801391642,-71
1411801391667,-71
1411801392381,-79
1411801392408,-79
1411801392784,-78
1411801392815,-78
1411801393087,-78
1411801393107,-78
1411801393471,-77
1411801393506,-77
1411801393827,-71
1411801393847,-71
1411801394194,-71
1411801394216,-71
1411801394506,-79
1411801394528,-79
1411801394856,-71
1411801394880,-71
1411801395247,-71
1411801395291,-71
