F021/9E93,RSSI
1411801357771,-79
1411801357795,-79
1411801358216,-77
1411801358237,-77
1411801358488,-75
1411801358514,-75
1411801359222,-75
1411801359243,-75
1411801359613,-78
1411801359647,-78
1411801360331,-87
1411801360360,-87
1411801360750,-79
1411801360777,-79
1411801360970,-84
1411801361008,-84
1411801361318,-75
1411801361345,-75
1411801362024,-81
1411801362045,-81
1411801362741,-75
1411801362823,-75
1411801363495,-76
1411801363539,-76
1411801364553,-75
1411801364574,-75
1411801365268,-85
1411801365294,-85
1411801367342,-80
1411801367364,-80
1411801367703,-86
1411801367757,-86
1411801368519,-77
1411801368555,-77
1411801369257,-82
1411801369283,-82
1411801369526,-76
1411801369554,-76
1411801369935,-81
1411801369978,-81
1411801370540,-84
1411801370574,-84
1411801370904,-82
1411801370926,-82
1411801371238,-81
1411801371267,-81
1411801371620,-81
1411801371651,-81
1411801372139,-82
1411801372161,-82
1411801372714,-83
1411801372739,-83
1411801373148,-81
1411801373188,-81
1411801373737,-86
1411801373758,-86
1411801375308,-77
1411801375338,-77
1411801375524,-81
1411801375570,-81
1411801375887,-76
1411801375908,-76
1411801376618,-82
1411801376644,-82
1411801377298,-84
1411801377335,-84
1411801377733,-83
1411801377757,-83
1411801378017,-78
1411801378056,-78
1411801379509,-80
1411801379559,-80
1411801380139,-83
1411801380172,-83
1411801380486,-77
1411801380507,-77
1411801381227,-82
1411801381253,-82
1411801381929,-81
1411801381950,-81
1411801382617,-76
1411801382639,-76
1411801383328,-77
1411801383377,-77
1411801384118,-79
1411801384185,-79
1411801385795,-77
1411801385821,-77
1411801386914,-86
1411801386938,-86
1411801387271,-79
1411801387291,-79
1411801387981,-85
1411801388007,-85
1411801388363,-85
1411801388385,-85
1411801388641,-80
1411801388669,-80
1411801388990,-78
1411801389012,-78
1411801389384,-77
1411801389447,-77
1411801390073,-79
1411801390093,-79
1411801390419,-78
1411801390441,-78
1411801390798,-77
1411801390822,-77
1411801391182,-78
1411801391204,-78
1411801391491,-78
1411801391512,-78
1411801391900,-79
1411801392014,-79
1411801393741,-85
1411801393761,-85
1411801393982,-79
1411801394132,-79
1411801394337,-79
1411801394357,-79
1411801394700,-85
1411801394721,-85
1411801395049,-80
1411801395092,-80
1411801395777,-76
1411801395802,-76
1411801396267,-78
1411801396289,-78
1411801396457,-79
1411801396483,-79
1411801396876,-74
1411801396953,-74
1411801397210,-78
1411801397248,-78
1411801397928,-87
1411801397966,-87
1411801398291,-87
1411801398315,-87
1411801399664,-79
1411801399689,-79
1411801400374,-79
1411801400408,-79
1411801400721,-77
1411801400755,-77
1411801401582,-77
1411801401604,-77
1411801402553,-78
1411801402604,-78
1411801402863,-89
1411801402895,-89
1411801403301,-79
1411801403339,-79
1411801404115,-76
1411801404139,-76
1411801405344,-80
1411801405379,-80
1411801405767,-76
1411801405800,-76
1411801406063,-79
1411801406107,-79
1411801407860,-79
1411801407899,-79
1411801408214,-80
1411801408239,-80
1411801408915,-79
1411801408953,-79
1411801409283,-77
1411801409319,-77
1411801409618,-78
1411801409640,-78
1411801409952,-76
1411801409974,-76
1411801410711,-74
1411801410749,-74
1411801411750,-78
1411801411773,-78
1411801412090,-77
1411801412129,-77
1411801412435,-77
1411801412459,-77
1411801413538,-76
1411801413570,-76
1411801413870,-77
1411801413937,-77
1411801414214,-75
1411801414237,-75
1411801414599,-77
1411801414754,-77
1411801415651,-78
1411801415674,-78
1411801416027,-77
1411801416049,-77
1411801416700,-77
1411801416724,-77
1411801417196,-78
1411801417220,-78
1411801417407,-74
1411801417431,-74
1411801418170,-78
1411801418208,-78
1411801418496,-78
1411801418522,-78
1411801418865,-86
1411801418898,-86
1411801419254,-86
1411801419287,-86
1411801419538,-85
1411801419684,-85
1411801419933,-78
1411801420351,-79
1411801420383,-79
1411801420621,-77
1411801420679,-77
1411801420979,-87
1411801421407,-79
1411801421442,-79
1411801421685,-76
1411801421717,-76
1411801422732,-78
1411801422753,-78
1411801423448,-77
1411801423470,-77
1411801423792,-77
1411801423824,-77
1411801424527,-86
1411801424558,-86
1411801424902,-85
1411801424934,-85
1411801425249,-76
1411801425269,-76
1411801425692,-78
1411801425739,-78
1411801426710,-78
1411801426856,-78
1411801426995,-78
1411801427020,-78
1411801428103,-86
1411801428122,-86
1411801428851,-76
1411801428883,-76
1411801429138,-76
1411801429172,-76
1411801429480,-78
1411801429519,-78
1411801430190,-83
1411801430274,-83
1411801430543,-83
1411801430566,-83
1411801430919,-77
1411801430944,-77
1411801431246,-77
1411801431271,-77
1411801431681,-77
1411801431711,-77
1411801431959,-77
1411801431978,-77
1411801432420,-87
1411801432439,-87
1411801433454,-78
1411801433489,-78
1411801434446,-78
1411801434498,-78
1411801435170,-77
1411801435201,-77
1411801435518,-84
1411801435552,-84
1411801435911,-85
1411801435935,-85
1411801436236,-78
1411801436260,-78
1411801437422,-76
1411801437449,-76
1411801437992,-79
1411801438029,-79
1411801438789,-77
1411801438817,-77
1411801439057,-79
1411801439093,-79
1411801439887,-77
1411801439919,-77
1411801440463,-78
1411801440484,-78
1411801440862,-78
1411801441894,-79
1411801441934,-79
1411801442410,-79
1411801442431,-79
1411801443434,-78
1411801443472,-78
1411801443703,-79
1411801443765,-79
1411801444372,-77
1411801444403,-77
1411801445141,-80
1411801445162,-80
1411801445431,-79
1411801445457,-79
1411801445857,-78
1411801445890,-78
1411801446145,-77
1411801446171,-77
1411801446860,-78
1411801446892,-78
1411801447590,-80
1411801447614,-80
1411801447975,-77
1411801448054,-77
1411801448640,-76
1411801448993,-78
1411801449023,-78
1411801450153,-78
1411801450173,-78
1411801450830,-76
1411801450856,-76
1411801451119,-80
1411801451144,-80
1411801451583,-85
1411801451616,-85
1411801451859,-79
1411801451882,-79
1411801452592,-75
1411801452624,-75
1411801452960,-79
1411801452992,-79
1411801453253,-74
1411801453285,-74
1411801453970,-76
1411801454004,-76
1411801454398,-79
1411801454421,-79
1411801455029,-79
1411801455061,-79
1411801455386,-80
1411801455421,-80
1411801455751,-79
1411801455773,-79
1411801456526,-88
1411801456558,-88
1411801456812,-77
1411801456843,-77
1411801457163,-78
1411801457187,-78
1411801458273,-78
1411801458304,-78
1411801458638,-80
1411801458670,-80
1411801459001,-86
1411801459033,-86
1411801459377,-75
1411801459410,-75
1411801459650,-85
1411801459675,-85
1411801460102,-78
1411801460128,-78
1411801460801,-77
1411801460835,-77
1411801461876,-79
1411801461910,-79
1411801462136,-79
1411801462161,-79
1411801462621,-79
1411801462645,-79
1411801463921,-80
1411801463942,-80
1411801465371,-89
1411801465403,-89
1411801465762,-78
1411801465842,-78
1411801466069,-77
1411801466102,-77
1411801466386,-83
1411801466418,-83
1411801466850,-77
1411801466892,-77
1411801467517,-79
1411801467549,-79
1411801468157,-84
1411801468182,-84
1411801468926,-87
1411801468959,-87
1411801469220,-79
1411801469256,-79
1411801470069,-88
1411801470094,-88
1411801470324,-78
1411801470348,-78
1411801471058,-79
1411801471090,-79
1411801472160,-76
1411801472183,-76
1411801472857,-77
1411801472880,-77
1411801473144,-79
1411801473165,-79
1411801474255,-77
1411801474319,-77
1411801474573,-78
1411801474596,-78
1411801475722,-77
1411801475751,-77
1411801476006,-74
1411801476028,-74
1411801476376,-78
1411801476409,-78
1411801476736,-80
1411801476768,-80
1411801477769,-79
1411801477792,-79
1411801478214,-78
1411801478239,-78
1411801478871,-78
1411801478902,-78
1411801479630,-79
1411801479684,-79
